location,metric,count
Carondelet,Feb 10 2023,0
Carondelet,Feb 10 2023 - Neutral,0
Carondelet,Feb 10 2023 - Negative,0
Carondelet,Feb 10 2023 - Positive,0
Carondelet,Feb 11 2023,0
Carondelet,Feb 11 2023 - Neutral,0
Carondelet,Feb 11 2023 - Negative,0
Carondelet,Feb 11 2023 - Positive,0
Carondelet,Feb 12 2023,0
Carondelet,Feb 12 2023 - Neutral,0
Carondelet,Feb 12 2023 - Negative,0
Carondelet,Feb 12 2023 - Positive,0
Carondelet,Feb 13 2023,0
Carondelet,Feb 13 2023 - Neutral,0
Carondelet,Feb 13 2023 - Negative,0
Carondelet,Feb 13 2023 - Positive,0
Carondelet,Feb 14 2023,0
Carondelet,Feb 14 2023 - Neutral,0
Carondelet,Feb 14 2023 - Negative,0
Carondelet,Feb 14 2023 - Positive,0
Carondelet,Feb 15 2023,0
Carondelet,Feb 15 2023 - Neutral,0
Carondelet,Feb 15 2023 - Negative,0
Carondelet,Feb 15 2023 - Positive,0
Carondelet,Feb 16 2023,0
Carondelet,Feb 16 2023 - Neutral,0
Carondelet,Feb 16 2023 - Negative,0
Carondelet,Feb 16 2023 - Positive,0
Carondelet,Feb 17 2023,0
Carondelet,Feb 17 2023 - Neutral,0
Carondelet,Feb 17 2023 - Negative,0
Carondelet,Feb 17 2023 - Positive,0
Carondelet,Feb 18 2023,0
Carondelet,Feb 18 2023 - Neutral,0
Carondelet,Feb 18 2023 - Negative,0
Carondelet,Feb 18 2023 - Positive,0
Carondelet,Feb 19 2023,0
Carondelet,Feb 19 2023 - Neutral,0
Carondelet,Feb 19 2023 - Negative,0
Carondelet,Feb 19 2023 - Positive,0
Carondelet,Feb 20 2023,0
Carondelet,Feb 20 2023 - Neutral,0
Carondelet,Feb 20 2023 - Negative,0
Carondelet,Feb 20 2023 - Positive,0
Carondelet,Feb 21 2023,0
Carondelet,Feb 21 2023 - Neutral,0
Carondelet,Feb 21 2023 - Negative,0
Carondelet,Feb 21 2023 - Positive,0
Carondelet,Feb 22 2023,0
Carondelet,Feb 22 2023 - Neutral,0
Carondelet,Feb 22 2023 - Negative,0
Carondelet,Feb 22 2023 - Positive,0
Carondelet,Feb 23 2023,0
Carondelet,Feb 23 2023 - Neutral,0
Carondelet,Feb 23 2023 - Negative,0
Carondelet,Feb 23 2023 - Positive,0
Carondelet,Feb 24 2023,0
Carondelet,Feb 24 2023 - Neutral,0
Carondelet,Feb 24 2023 - Negative,0
Carondelet,Feb 24 2023 - Positive,0
Carondelet,Feb 25 2023,0
Carondelet,Feb 25 2023 - Neutral,0
Carondelet,Feb 25 2023 - Negative,0
Carondelet,Feb 25 2023 - Positive,0
Carondelet,Feb 26 2023,1
Carondelet,Feb 26 2023 - Neutral,0
Carondelet,Feb 26 2023 - Negative,1
Carondelet,Feb 26 2023 - Positive,0
Carondelet,Feb 27 2023,2
