metric,Carondelet,Central West End,Cherokee Antique Row,Cherokee Street,Chesterfield,Clayton,Downtown St. Louis,Eureka,Forest Park,Grand Center Arts District,Kimmswick,Kirkwood,Laclede's Landing,Lafayette Square,Maplewood,Maryland Heights,North County,Soulard,South Grand,St. Louis,The Delmar Loop,The Grove,The Hill,The Ville,Washington University in St. Louis,Webster Groves
Feb 18 2023 - Positive,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Feb 19 2023,0,2,0,1,2,0,7,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Feb 19 2023 - Neutral,0,1,0,1,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Feb 19 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 19 2023 - Positive,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Feb 20 2023,0,1,0,0,0,0,2,0,1,0,0,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0
Feb 20 2023 - Neutral,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0
Feb 20 2023 - Negative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 20 2023 - Positive,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Feb 21 2023,0,3,0,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Feb 21 2023 - Neutral,0,3,0,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Feb 21 2023 - Negative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 21 2023 - Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Feb 22 2023,0,2,0,1,0,1,8,0,0,0,0,0,0,3,0,0,0,0,0,16,0,0,1,0,0,0
Feb 22 2023 - Neutral,0,2,0,1,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,15,0,0,1,0,0,0
Feb 22 2023 - Negative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 22 2023 - Positive,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Feb 23 2023,0,2,0,2,2,0,5,2,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0
Feb 23 2023 - Neutral,0,1,0,2,2,0,3,2,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0
Feb 23 2023 - Negative,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 23 2023 - Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Feb 24 2023,0,1,0,0,3,1,33,0,0,0,0,1,0,0,1,1,0,0,0,8,0,1,0,0,0,0
Feb 24 2023 - Neutral,0,1,0,0,3,0,28,0,0,0,0,0,0,0,1,1,0,0,0,8,0,1,0,0,0,0
Feb 24 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 24 2023 - Positive,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 25 2023,0,0,0,1,4,2,60,0,0,0,0,0,0,1,1,8,0,0,0,13,0,0,1,0,0,0
Feb 25 2023 - Neutral,0,0,0,1,4,2,45,0,0,0,0,0,0,1,1,7,0,0,0,11,0,0,0,0,0,0
Feb 25 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 25 2023 - Positive,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0
Feb 26 2023,0,0,0,0,7,2,67,0,0,0,0,1,0,0,0,0,0,0,0,20,0,2,0,0,0,2
Feb 26 2023 - Neutral,0,0,0,0,6,2,48,0,0,0,0,1,0,0,0,0,0,0,0,14,0,2,0,0,0,0
Feb 26 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 26 2023 - Positive,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2
Feb 27 2023,1,0,0,0,5,1,55,3,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,1
Feb 27 2023 - Neutral,1,0,0,0,4,1,40,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1
Feb 27 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 27 2023 - Positive,0,0,0,0,1,0,15,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
Feb 28 2023,0,3,0,2,4,0,62,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1
Feb 28 2023 - Neutral,0,3,0,2,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Feb 28 2023 - Negative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 28 2023 - Positive,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1
Mar 01 2023,0,1,0,0,5,0,63,1,0,0,0,0,0,0,0,3,1,2,1,9,0,0,1,0,0,1
Mar 01 2023 - Neutral,0,1,0,0,3,0,51,1,0,0,0,0,0,0,0,3,0,2,1,9,0,0,1,0,0,0
Mar 01 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 01 2023 - Positive,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mar 02 2023,0,0,0,0,0,0,19,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Mar 02 2023 - Neutral,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mar 02 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 02 2023 - Positive,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mar 03 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 03 2023 - Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 03 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 03 2023 - Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
