metric,Carondelet,Central West End,Cherokee Antique Row,Cherokee Street,Chesterfield,Clayton,Downtown St. Louis,Eureka,Forest Park,Grand Center Arts District,Kimmswick,Kirkwood,Laclede's Landing,Lafayette Square,Maplewood,Maryland Heights,North County,Soulard,South Grand,St. Louis,The Delmar Loop,The Grove,The Hill,The Ville,Washington University in St. Louis,Webster Groves
Feb 10 2023 - Negative,0,0,0,0,10,14,1,0,0,0,0,1,0,0,9,5,0,0,0,289,0,0,0,0,0,1
Feb 10 2023 - Positive,0,0,0,1,12,11,27,1,0,0,0,3,0,0,17,9,3,0,0,229,0,0,3,0,0,0
Feb 11 2023,0,0,0,2,83,43,95,12,1,0,2,27,0,2,89,37,6,3,1,1135,0,3,3,0,0,7
Feb 11 2023 - Neutral,0,0,0,1,35,22,59,6,1,0,2,12,0,1,25,25,4,1,1,533,0,2,2,0,0,3
Feb 11 2023 - Negative,0,0,0,0,17,11,3,5,0,0,0,9,0,0,33,1,0,0,0,268,0,0,0,0,0,4
Feb 11 2023 - Positive,0,0,0,1,26,6,28,1,0,0,0,5,0,1,26,8,2,2,0,256,0,0,1,0,0,0
Feb 12 2023,0,3,0,2,57,50,122,4,0,0,0,34,0,0,101,31,3,4,1,1087,0,0,1,1,0,12
Feb 12 2023 - Neutral,0,2,0,2,24,21,83,1,0,0,0,13,0,0,36,23,0,2,1,455,0,0,0,1,0,9
Feb 12 2023 - Negative,0,0,0,0,7,14,1,1,0,0,0,8,0,0,25,1,0,0,0,279,0,0,1,0,0,1
Feb 12 2023 - Positive,0,1,0,0,20,12,36,2,0,0,0,9,0,0,35,6,3,2,0,274,0,0,0,0,0,2
Feb 13 2023,0,3,0,2,75,29,24,6,0,0,0,26,0,0,58,11,4,0,0,783,0,0,1,4,0,19
Feb 13 2023 - Neutral,0,3,0,2,32,15,10,2,0,0,0,11,0,0,10,5,2,0,0,285,0,0,1,0,0,18
Feb 13 2023 - Negative,0,0,0,0,14,8,1,2,0,0,0,7,0,0,12,5,0,0,0,205,0,0,0,0,0,0
Feb 13 2023 - Positive,0,0,0,0,20,6,7,1,0,0,0,5,0,0,32,1,2,0,0,227,0,0,0,0,0,1
Feb 14 2023,0,7,0,0,107,41,38,15,0,0,0,14,0,0,60,23,3,0,0,879,0,0,1,0,0,25
